record_id,complaint,department,data_source
8345,"At the walking park, playground equipment is broken. It is needs cleaning. this needs attention.",parks,SYNTHETIC TRAINING DATA
7854,Park bench is broken children's park and it is has been damaged for days. please resolve it.,parks,SYNTHETIC TRAINING DATA
1789,We have an issue: several lights are off walkway. It is pedestrians cannot see well. please handle it soon.,lighting,SYNTHETIC TRAINING DATA
8884,"I am reporting park bench is broken children's park. It is looks neglected, so please send maintenance.",parks,SYNTHETIC TRAINING DATA
3099,"A complaint about trash was not collected outside our building. It is is spreading, so please arrange a visit.",waste,SYNTHETIC TRAINING DATA
8556,"At the children's park, tree branch is blocking the path. It is needs maintenance. please resolve it.",parks,SYNTHETIC TRAINING DATA
11779,Please send a team for an issue: smoke coming from a utility box near a public facility. It is people may be in danger. please resolve it.,public_safety,SYNTHETIC TRAINING DATA
10164,Construction fence is damaged residential block and it is hazard is visible. please send maintenance.,building,SYNTHETIC TRAINING DATA
11340,"A complaint about dangerous exposed wires beside the school. It is people may be in danger, so please arrange a visit.",public_safety,SYNTHETIC TRAINING DATA
6971,"Please check sewage water is in the street neighborhood entrance. It is it is getting worse, so please inspect the issue.",sewage,SYNTHETIC TRAINING DATA
4088,I want to report illegal dumping next to the mosque; it is is spreading. please inspect the issue.,waste,SYNTHETIC TRAINING DATA
4494,Can the municipality inspect an issue: waste container is full outside our building. It is has been there for days. kindly investigate.,waste,SYNTHETIC TRAINING DATA
11660,"Can the municipality inspect dangerous exposed wires at the intersection. It is situation is unsafe, so please arrange a visit.",public_safety,SYNTHETIC TRAINING DATA
3179,Rubbish is scattered neighborhood corner and it is blocks the sidewalk. please send maintenance.,waste,SYNTHETIC TRAINING DATA
7167,Drain smells strongly near our homes and it is needs urgent cleaning. please arrange a visit.,sewage,SYNTHETIC TRAINING DATA
4143,Garbage bags are piling up near the market and it is is spreading. we need assistance.,waste,SYNTHETIC TRAINING DATA
4671,"Can the municipality inspect water pipe is leaking outside the house. It is residents have no supply, so this needs attention.",water,SYNTHETIC TRAINING DATA
8282,"At the walking park, tree branch is blocking the path. It is needs cleaning. please send maintenance.",parks,SYNTHETIC TRAINING DATA
6511,"At the residential street, sewage water is in the street. It is it is getting worse. please handle it soon.",sewage,SYNTHETIC TRAINING DATA
3429,"I am reporting waste container is full near the market. It is attracts insects, so please handle it soon.",waste,SYNTHETIC TRAINING DATA
10029,Abandoned building is deteriorating residential block and it is site needs inspection. we need assistance.,building,SYNTHETIC TRAINING DATA
6028,Our neighborhood has an issue: drain smells strongly behind the shops. It is wastewater is pooling. please send maintenance.,sewage,SYNTHETIC TRAINING DATA
5194,"A complaint about no water is reaching homes commercial area. It is water is being wasted, so please handle it soon.",water,SYNTHETIC TRAINING DATA
1647,Lamp is flickering neighborhood and it is drivers struggle at night. please arrange a visit.,lighting,SYNTHETIC TRAINING DATA
11110,I am reporting gas leak near my building; it is needs a safety response. please send maintenance.,public_safety,SYNTHETIC TRAINING DATA
11251,Can the municipality inspect dangerous exposed wires outside the market; it is area needs immediate attention. please send maintenance.,public_safety,SYNTHETIC TRAINING DATA
2099,"Our neighborhood has dark street neighborhood. It is drivers struggle at night, so kindly investigate.",lighting,SYNTHETIC TRAINING DATA
7821,"At the neighborhood park, park irrigation is damaged. It is blocks the walkway. please handle it soon.",parks,SYNTHETIC TRAINING DATA
5587,We have clean water is flooding the street neighborhood; it is the street is wet. please inspect the issue.,water,SYNTHETIC TRAINING DATA
3406,Residents noticed rubbish is scattered public parking area; it is is spreading. please inspect the issue.,waste,SYNTHETIC TRAINING DATA
